listing_id,city,state,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
5364244,Seattle,WA,98117,47.68507273116705,-122.3926185578984,4,1.0,1.0,2.0,130,98.0
4127196,Seattle,WA,98117,47.684777216258325,-122.38023362420324,3,1.0,1.0,2.0,95,90.0
30712,Seattle,WA,98117,47.67890136088437,-122.38186327463,2,1.0,1.0,1.0,75,81.0
5632713,Seattle,WA,98117,47.68128761190235,-122.37718112724728,2,1.0,1.0,1.0,75,98.0
2396734,Seattle,WA,98107,47.67639620828041,-122.38969592254782,8,1.0,4.0,4.0,265,98.0
4616634,Seattle,WA,98117,47.68115961660947,-122.3849032080102,2,1.0,0.0,1.0,105,99.0
1175308,Seattle,WA,98117,47.678133546271326,-122.38719706284223,4,1.5,2.0,3.0,100,100.0
3157738,Seattle,WA,98117,47.67736446131171,-122.39064118020045,5,1.0,3.0,3.0,175,88.0
8866927,Seattle,WA,98117,47.680358811123504,-122.38547722159151,2,1.0,0.0,1.0,65,100.0
3657819,Seattle,WA,98117,47.68088095768351,-122.38222538573548,2,1.0,1.0,1.0,99,97.0
8212190,Seattle,WA,98117,47.68718043489563,-122.37775508612614,6,1.0,2.0,3.0,150,97.0
6884820,Seattle,WA,98117,47.681835453673415,-122.37890289259444,2,1.0,1.0,1.0,45,86.0
6821407,Seattle,WA,98117,47.67653569832997,-122.3927758360174,2,1.0,1.0,1.0,47,95.0
9563749,Seattle,WA,98117,47.68108977502807,-122.37790318655158,2,1.0,1.0,1.0,38,100.0
6474341,Seattle,WA,98117,47.6861697316854,-122.37724756911916,4,1.5,1.0,1.0,150,96.0
7038750,Seattle,WA,98117,47.67916479085142,-122.3918982896517,2,1.0,1.0,1.0,80,100.0
7824929,Seattle,WA,98117,47.67710276580579,-122.37739237674336,2,1.0,1.0,1.0,69,97.0
2277640,Seattle,WA,98117,47.67713177253045,-122.3779184424994,3,1.0,2.0,1.0,89,99.0
5620306,Seattle,WA,98117,47.67655779162952,-122.388556377128,2,1.0,1.0,1.0,70,100.0
4739190,Seattle,WA,98125,47.712468272034656,-122.30705874794124,3,1.0,0.0,1.0,106,97.0
5219336,Seattle,WA,98125,47.718619177950565,-122.2983693514636,2,1.0,1.0,1.0,100,94.0
2298775,Seattle,WA,98115,47.70145299503429,-122.30822499944118,2,1.0,1.0,1.0,60,94.0
7455706,Seattle,WA,98125,47.71089867119819,-122.31187606074116,3,1.0,1.0,1.0,70,85.0
1142039,Seattle,WA,98115,47.70122059927812,-122.30814969770596,1,1.0,1.0,1.0,50,95.0
3563218,Seattle,WA,98125,47.716248790408,-122.31181061702684,2,1.0,1.0,1.0,45,92.0
7789264,Seattle,WA,98125,47.707638203751095,-122.31074488469592,3,1.0,1.0,3.0,119,96.0
6935953,Seattle,WA,98125,47.71328236580247,-122.30295079554097,2,1.0,1.0,1.0,200,100.0
3441402,Seattle,WA,98125,47.71705326881332,-122.3028379909811,3,1.0,0.0,1.0,65,95.0
921571,Seattle,WA,98125,47.70487880304511,-122.30958246961204,2,1.0,1.0,1.0,50,91.0
5205984,Seattle,WA,98125,47.71258579676071,-122.31070411655652,2,1.0,1.0,1.0,60,100.0
5352741,Seattle,WA,98125,47.716547559409946,-122.29819480963484,1,1.0,1.0,1.0,60,100.0
1461971,Seattle,WA,98125,47.71230538533762,-122.31148570628147,4,1.0,2.0,2.0,129,93.0
6690388,Seattle,WA,98125,47.70197726300116,-122.30506696793908,2,1.0,1.0,1.0,68,100.0
1190571,Seattle,WA,98115,47.694971832165095,-122.27748148373448,2,1.0,1.0,1.0,60,89.0
231097,Seattle,WA,98125,47.70638974062461,-122.28074562168604,2,1.0,1.0,1.0,51,98.0
3703121,Seattle,WA,98115,47.69454685193035,-122.2765862531731,4,1.0,2.0,2.0,150,98.0
3004007,Seattle,WA,98115,47.69333124289885,-122.27430912483646,4,1.0,2.0,2.0,125,99.0
3870937,Seattle,WA,98115,47.70245476952104,-122.2764194797343,4,1.0,1.0,2.0,119,97.0
3242247,Seattle,WA,98115,47.702493452134206,-122.277430350748,2,1.0,1.0,1.0,87,95.0
6350606,Seattle,WA,98115,47.698169767742925,-122.27530868859736,2,1.0,1.0,1.0,130,100.0
6741526,Seattle,WA,98115,47.69523394777537,-122.27264663470731,8,2.5,4.0,4.0,250,95.0
6101613,Seattle,WA,98125,47.71691760120692,-122.28316937676188,8,1.5,3.0,3.0,159,90.0
1190224,Seattle,WA,98115,47.69424173749816,-122.27724644053696,2,1.0,1.0,1.0,60,94.0
8704931,Seattle,WA,98125,47.70439930875982,-122.28911850769953,4,1.0,1.0,2.0,91,100.0
9432497,Seattle,WA,98115,47.69902653627106,-122.28452741869457,2,1.0,1.0,1.0,43,88.0
7931111,Seattle,WA,98115,47.69516920833031,-122.27521016844574,2,1.0,1.0,1.0,68,100.0
5031357,Seattle,WA,98125,47.70648991889953,-122.27916445218578,3,1.0,1.0,1.0,70,80.0
6603376,Seattle,WA,98115,47.70109134756456,-122.27530629259206,10,2.5,3.0,4.0,252,99.0
3861673,Seattle,WA,98117,47.68402967400614,-122.37408622258336,2,1.0,1.0,1.0,71,99.0
461234,Seattle,WA,98117,47.683940881288734,-122.37304553256494,2,1.0,1.0,1.0,99,96.0
3510818,Seattle,WA,98117,47.67959073237747,-122.37001012252033,2,1.0,1.0,1.0,140,98.0
6245498,Seattle,WA,98117,47.68073450285213,-122.37183835130143,3,1.0,2.0,2.0,105,92.0
6557018,Seattle,WA,98117,47.68514928756054,-122.3763764363306,4,1.0,2.0,2.0,115,92.0
7873789,Seattle,WA,98117,47.683094029694615,-122.3713839227005,6,1.0,2.0,4.0,125,98.0
6691873,Seattle,WA,98117,47.68854019098801,-122.36681160099278,2,1.0,1.0,1.0,90,95.0
7638689,Seattle,WA,98117,47.68366488063717,-122.37085780739044,6,1.0,2.0,4.0,150,95.0
5968862,Seattle,WA,98117,47.68702260912776,-122.37321146395637,4,2.0,2.0,2.0,200,100.0
